# config/squads/wc2022.csv — 2022 FIFA World Cup squads (32 teams) for the P3 v0 k_squad sweep.
# tournament,team,player,club ; club = club at the tournament (the join key, never player).
# SOURCE: Wikipedia "2022 FIFA World Cup squads"
#   (https://en.wikipedia.org/wiki/2022_FIFA_World_Cup_squads), accessed 2026-06-10.
# team = martj42 store key (e.g. South Korea, United States). Cutoff for club-Elo join: 2022-11-20.
# Curated player+club only (no jersey/DOB) per the brief — for v0 the CLUB is what matters.
tournament,team,player,club
wc2022,Qatar,Saad Al-Sheeb,Al-Sadd
wc2022,Qatar,Pedro Miguel,Al-Sadd
wc2022,Qatar,Abdelkarim Hassan,Al-Sadd
wc2022,Qatar,Tarek Salman,Al-Sadd
wc2022,Qatar,Abdulaziz Hatem,Al-Rayyan
wc2022,Qatar,Ahmed Alaaeldin,Al-Gharafa
wc2022,Qatar,Ali Assadalla,Al-Sadd
wc2022,Qatar,Hassan Al-Haydos,Al-Sadd
wc2022,Qatar,Akram Afif,Al-Sadd
wc2022,Qatar,Karim Boudiaf,Al-Duhail
wc2022,Qatar,Boualem Khoukhi,Al-Sadd
wc2022,Qatar,Almoez Ali,Al-Duhail
wc2022,Qatar,Bassam Al-Rawi,Al-Duhail
wc2022,Qatar,Ismaeel Mohammad,Al-Duhail
wc2022,Qatar,Assim Madibo,Al-Duhail
wc2022,Qatar,Meshaal Barsham,Al-Sadd
wc2022,Qatar,Mostafa Meshaal,Al-Sadd
wc2022,Ecuador,Hernán Galíndez,Aucas
wc2022,Ecuador,Félix Torres,Santos Laguna
wc2022,Ecuador,Piero Hincapié,Bayer Leverkusen
wc2022,Ecuador,Robert Arboleda,São Paulo
wc2022,Ecuador,Pervis Estupiñán,Brighton & Hove Albion
wc2022,Ecuador,Carlos Gruezo,FC Augsburg
wc2022,Ecuador,Enner Valencia,Fenerbahçe
wc2022,Ecuador,Gonzalo Plata,Valladolid
wc2022,Ecuador,Moisés Caicedo,Brighton & Hove Albion
wc2022,Ecuador,Ángelo Preciado,Genk
wc2022,Ecuador,Jeremy Sarmiento,Brighton & Hove Albion
wc2022,Ecuador,Alexander Domínguez,LDU Quito
wc2022,Ecuador,Jackson Porozo,Troyes
wc2022,Senegal,Édouard Mendy,Chelsea
wc2022,Senegal,Kalidou Koulibaly,Chelsea
wc2022,Senegal,Idrissa Gueye,Everton
wc2022,Senegal,Nampalys Mendy,Leicester City
wc2022,Senegal,Cheikhou Kouyaté,Nottingham Forest
wc2022,Senegal,Boulaye Dia,Salernitana
wc2022,Senegal,Pathé Ciss,Rayo Vallecano
wc2022,Senegal,Fodé Ballo-Touré,Milan
wc2022,Senegal,Ismaïla Sarr,Watford
wc2022,Senegal,Ismail Jakobs,Monaco
wc2022,Senegal,Krépin Diatta,Monaco
wc2022,Senegal,Pape Matar Sarr,Tottenham Hotspur
wc2022,Senegal,Youssouf Sabaly,Real Betis
wc2022,Senegal,Abdou Diallo,RB Leipzig
wc2022,Senegal,Alfred Gomis,Rennes
wc2022,Senegal,Pape Gueye,Marseille
wc2022,Senegal,Bamba Dieng,Marseille
wc2022,Netherlands,Remko Pasveer,Ajax
wc2022,Netherlands,Jurriën Timber,Ajax
wc2022,Netherlands,Matthijs de Ligt,Bayern Munich
wc2022,Netherlands,Virgil van Dijk,Liverpool
wc2022,Netherlands,Nathan Aké,Manchester City
wc2022,Netherlands,Stefan de Vrij,Inter Milan
wc2022,Netherlands,Steven Bergwijn,Ajax
wc2022,Netherlands,Cody Gakpo,PSV Eindhoven
wc2022,Netherlands,Memphis Depay,Barcelona
wc2022,Netherlands,Steven Berghuis,Ajax
wc2022,Netherlands,Marten de Roon,Atalanta
wc2022,Netherlands,Tyrell Malacia,Manchester United
wc2022,Netherlands,Daley Blind,Ajax
wc2022,Netherlands,Wout Weghorst,Beşiktaş
wc2022,Netherlands,Teun Koopmeiners,Atalanta
wc2022,Netherlands,Frenkie de Jong,Barcelona
wc2022,Netherlands,Denzel Dumfries,Inter Milan
wc2022,Netherlands,Xavi Simons,PSV Eindhoven
wc2022,Netherlands,Jeremie Frimpong,Bayer Leverkusen
wc2022,Netherlands,Luuk de Jong,PSV Eindhoven
wc2022,England,Jordan Pickford,Everton
wc2022,England,Kyle Walker,Manchester City
wc2022,England,Luke Shaw,Manchester United
wc2022,England,Declan Rice,West Ham United
wc2022,England,John Stones,Manchester City
wc2022,England,Harry Maguire,Manchester United
wc2022,England,Jack Grealish,Manchester City
wc2022,England,Jordan Henderson,Liverpool
wc2022,England,Harry Kane,Tottenham Hotspur
wc2022,England,Raheem Sterling,Chelsea
wc2022,England,Marcus Rashford,Manchester United
wc2022,England,Kieran Trippier,Newcastle United
wc2022,England,Nick Pope,Newcastle United
wc2022,England,Kalvin Phillips,Manchester City
wc2022,England,Eric Dier,Tottenham Hotspur
wc2022,England,Bukayo Saka,Arsenal
wc2022,England,Trent Alexander-Arnold,Liverpool
wc2022,England,Mason Mount,Chelsea
wc2022,England,Phil Foden,Manchester City
wc2022,England,Jude Bellingham,Borussia Dortmund
wc2022,England,Aaron Ramsdale,Arsenal
wc2022,England,Callum Wilson,Newcastle United
wc2022,England,James Maddison,Leicester City
wc2022,England,Conor Gallagher,Chelsea
wc2022,Iran,Alireza Beiranvand,Persepolis
wc2022,Iran,Ehsan Hajsafi,AEK Athens
wc2022,Iran,Milad Mohammadi,AEK Athens
wc2022,Iran,Alireza Jahanbakhsh,Feyenoord
wc2022,Iran,Mehdi Taremi,Porto
wc2022,Iran,Saman Ghoddos,Brentford
wc2022,Iran,Sardar Azmoun,Bayer Leverkusen
wc2022,Iran,Ali Gholizadeh,Charleroi
wc2022,Iran,Ali Karimi,Kayserispor
wc2022,Iran,Majid Hosseini,Kayserispor
wc2022,Iran,Morteza Pouraliganji,Persepolis
wc2022,Iran,Vahid Amiri,Persepolis
wc2022,Iran,Mehdi Torabi,Persepolis
wc2022,United States,Matt Turner,Arsenal
wc2022,United States,Sergiño Dest,Milan
wc2022,United States,Walker Zimmerman,Nashville SC
wc2022,United States,Tyler Adams,Leeds United
wc2022,United States,Antonee Robinson,Fulham
wc2022,United States,Yunus Musah,Valencia
wc2022,United States,Giovanni Reyna,Borussia Dortmund
wc2022,United States,Weston McKennie,Juventus
wc2022,United States,Christian Pulisic,Chelsea
wc2022,United States,Brenden Aaronson,Leeds United
wc2022,United States,Tim Ream,Fulham
wc2022,United States,Luca de la Torre,Celta Vigo
wc2022,United States,Tim Weah,Lille
wc2022,United States,DeAndre Yedlin,Inter Miami
wc2022,United States,Cameron Carter-Vickers,Celtic
wc2022,United States,Jordan Morris,Seattle Sounders FC
wc2022,Argentina,Emiliano Martínez,Aston Villa
wc2022,Argentina,Nahuel Molina,Atlético Madrid
wc2022,Argentina,Cristian Romero,Tottenham Hotspur
wc2022,Argentina,Nicolás Otamendi,Benfica
